id,group,score
1,Control,60.10878649652149
2,Control,66.32213348532117
3,Control,82.87925261289249
4,Control,71.93974419132613
5,Control,79.20230899639857
6,Control,75.77103791257251
7,Control,63.63536353629019
8,Control,75.41952220410293
9,Control,66.83404548834184
10,Control,66.7761088384104
11,Tutor,76.16600782404548
12,Tutor,56.688835121772584
13,Tutor,89.30599324921991
14,Tutor,66.9469238979107
15,Tutor,87.00323303591352
16,Tutor,76.63585348623741
17,Tutor,93.38439695554555
18,Tutor,67.08036703449815
19,Tutor,71.25846172236099
20,Tutor,79.0532295187059
