subject,gender,handedness,baseline_speed
1,M,R,1.6017788913209154
2,F,R,-0.23935562747302427
3,M,R,-1.023497492621865
4,M,R,0.17927563495631615
5,F,R,0.21999668397176517
6,M,R,1.3591875752404365
7,M,R,0.8351112459145785
8,M,R,0.35687105914950934
9,F,R,1.4633028912195618
10,F,R,-1.188763054322851
11,F,R,-0.6397515327497477
12,M,R,-0.9265759414055249
13,M,R,-0.38980980315576796
14,M,R,-1.3766861475563088
15,F,R,0.6351509468144043
16,F,R,-0.22222269709877338
17,F,R,-1.4708062945026579
18,F,R,-1.0155790812075416
19,M,R,0.3135138474501953
20,M,R,0.8381265678943811
21,M,R,1.9967308916917865
22,F,R,2.9138624660073296
23,M,R,0.4144094332759964
24,M,R,-0.9895381200318641
25,M,R,-2.132046280731309
26,F,R,0.2677114623438358
27,F,R,-0.812941095310326
28,F,R,-0.41535726017968533
29,F,R,-0.6120967990598081
30,M,R,-0.14079088641638526
31,M,R,1.0659802307876436
32,M,R,0.15704856744534462
33,F,R,-0.1586348370386883
34,F,R,-1.0356537528258116
35,F,R,-1.674682944704357
36,F,R,-0.4863079090733309
37,F,R,-0.05378255081832049
38,F,R,1.767929913579883
39,F,R,0.13027452147288585
40,M,L,0.9827395110230576
41,F,L,-0.49929559853915206
42,M,R,-1.1849437664170246
43,M,R,-0.9651167622323719
44,F,L,-0.7252260645357532
45,M,R,2.1284697324351645
46,M,R,-0.8213866792243861
47,F,R,0.838489203736345
48,F,R,-0.9029271780870264
49,M,R,0.9315730128742441
50,F,L,0.38495096610586316
51,F,R,-0.1566378976580904
52,F,R,-0.040762526135434025
53,M,R,-0.6547876954293904
54,M,R,0.44607220148208054
55,M,R,-0.45498348034078
56,M,R,-1.2256057637672482
57,F,R,-1.2779375743196193
58,F,R,0.17258791772211948
59,F,R,1.579091256410435
60,F,R,0.15999161357343825
