subject,condition,trial,rt_ms,correct
1,congruent,1,657.1846706330055,1
1,congruent,2,551.9152342435801,1
1,congruent,3,336.28535771870673,1
1,congruent,4,454.481983091868,1
1,congruent,5,393.0972193534874,1
1,congruent,6,480.851313805245,1
1,congruent,7,577.7371168214095,1
1,congruent,8,354.2068943773512,1
1,congruent,9,341.2973354994389,1
1,congruent,10,442.3641296281571,1
1,congruent,11,2348.4993582542443,1
1,congruent,12,521.6532646426318,1
1,congruent,13,802.561346132257,1
1,congruent,14,186.175608626647,1
1,congruent,15,421.96688882005094,1
1,congruent,16,436.9317303442577,1
1,congruent,17,289.53705466539077,1
1,congruent,18,368.8501922136298,1
1,congruent,19,456.2745868136229,1
1,congruent,20,471.0311201151334,1
1,congruent,21,142.00837529973134,1
1,congruent,22,433.82519536990463,1
1,congruent,23,542.675230636091,1
1,congruent,24,538.4437730289835,1
1,congruent,25,689.2670499252156,1
1,congruent,26,531.8033876571654,1
1,congruent,27,558.0816700351799,1
1,congruent,28,367.2127794984492,1
1,congruent,29,465.40391933175994,1
1,congruent,30,677.0434983873654,1
1,congruent,31,535.9837403906384,1
1,congruent,32,707.7464873278888,1
1,congruent,33,493.10554012872484,1
1,congruent,34,570.3830906667114,1
1,congruent,35,709.7366047683216,1
1,congruent,36,508.44995953129114,1
1,congruent,37,594.3465027183059,1
1,congruent,38,590.5687402759377,1
1,congruent,39,492.43008088040244,0
1,congruent,40,576.9685189359101,1
1,congruent,41,354.47724370245123,1
1,congruent,42,639.10190596099,1
1,congruent,43,509.1084904160959,1
1,congruent,44,429.53205060525386,1
1,congruent,45,544.6672551522655,1
1,congruent,46,628.6810483468712,1
1,congruent,47,396.86302985946077,1
1,congruent,48,620.4433712574219,1
1,congruent,49,411.23387417067886,1
1,congruent,50,501.83558829546564,0
1,congruent,51,566.9584417870777,1
1,congruent,52,189.28652054581582,1
1,congruent,53,350.2667959354498,1
1,congruent,54,563.367002765719,1
1,congruent,55,506.9868918750324,1
1,congruent,56,2159.0653474260234,1
1,congruent,57,478.91109196841154,1
1,congruent,58,174.8855712607222,1
1,congruent,59,344.8877822592152,1
1,congruent,60,590.3965295955154,1
1,congruent,61,659.7867975003096,1
1,congruent,62,488.6943251237714,1
1,congruent,63,429.1364193643383,1
1,congruent,64,596.8946639536188,0
1,congruent,65,375.5991889292824,1
1,congruent,66,611.8601006164047,1
1,congruent,67,421.9504684256799,1
1,congruent,68,543.8950840996478,0
1,congruent,69,628.5311516168244,1
1,congruent,70,484.72795800378515,1
1,congruent,71,508.79019784412,1
1,congruent,72,540.4329063423771,1
1,congruent,73,2241.361682670248,1
1,congruent,74,732.9322011197286,1
1,congruent,75,451.61507326614753,1
1,congruent,76,459.7534435621047,1
1,congruent,77,812.1853088196865,1
1,congruent,78,570.1577130677622,1
1,congruent,79,552.1006247030929,1
1,congruent,80,580.334689985798,1
1,congruent,81,554.9403311452301,1
1,congruent,82,460.191577453949,1
1,congruent,83,607.8866594647889,1
1,congruent,84,435.24500067627037,0
1,congruent,85,556.2740867682232,1
1,congruent,86,490.13238340966075,1
1,congruent,87,417.8597877604954,1
1,congruent,88,393.94098294243935,0
1,congruent,89,447.3601762011245,1
1,congruent,90,688.230624228575,1
1,congruent,91,554.7445357053632,1
1,congruent,92,638.2019809162141,1
1,congruent,93,401.31692566451227,1
1,congruent,94,481.36227706257927,1
1,congruent,95,579.9843780744446,1
1,congruent,96,744.6732579559147,1
1,congruent,97,376.5929411588461,1
1,congruent,98,393.8087840404763,1
1,congruent,99,2169.4167710670577,1
1,congruent,100,2352.407162414876,1
1,incongruent,1,492.50108724965605,1
1,incongruent,2,750.2184598353183,1
1,incongruent,3,461.7027423963466,1
1,incongruent,4,840.1400453179458,1
1,incongruent,5,793.798399448141,0
1,incongruent,6,402.25336384667446,1
1,incongruent,7,697.9766161586239,1
1,incongruent,8,531.1597951455085,1
1,incongruent,9,665.4002549247303,1
1,incongruent,10,665.0285944195766,1
1,incongruent,11,654.0231193333542,1
1,incongruent,12,629.4618042293966,1
1,incongruent,13,2193.309530567055,1
